,AH,AH_Home,AH_Away,OU,Over,Under,Home_name,Away_name,Date,URL
82,Asian handicap -4.5 ,1.91,2.07,Over/Under +151.5 ,2.11,1.91,Olympiakos,Khimki M.,"Friday, 05 Feb  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/olympiakos-piraeus-khimki-m-OCSAIYb5/
83,Asian handicap -8.5 ,1.96,2.08,Over/Under +168.5 ,2.02,1.94,Real Madrid,Baskonia,"Friday, 05 Feb  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/real-madrid-saski-baskonia-IsQaJ8ph/
84,Asian handicap -3 ,2.03,1.97,Over/Under +162.5 ,2.03,1.96,Anadolu Efes,Fenerbahce,"Friday, 05 Feb  2016, 20:30",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/anadolu-efes-fenerbahce-lfzbLzFn/
85,Asian handicap +12 ,1.96,2.11,Over/Under +164.5 ,2.06,2.03,Zalgiris Kaunas,CSKA Moscow,"Friday, 05 Feb  2016, 19:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/zalgiris-kaunas-cska-moscow-IZREHhEB/
86,Asian handicap -2.5 ,2.0,1.98,Over/Under +148.5 ,1.96,2.02,Unicaja,Lokomotiv Kuban,"Thursday, 04 Feb  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/unicaja-lokomotiv-kuban-SpZ1KfUh/
87,Asian handicap +4.5 ,2.14,1.94,Over/Under +154.5 ,1.92,2.0,Bamberg,Barcelona,"Thursday, 04 Feb  2016, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/brose-bamberg-barcelona-A9O6JEqa/
88,Asian handicap -4.5 ,1.93,2.03,Over/Under +151.5 ,2.0,2.02,Darussafaka,Crvena zvezda mts,"Thursday, 04 Feb  2016, 20:30",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/darussafaka-crvena-zvezda-mts-tUzfMGat/
89,Asian handicap +3.5 ,1.94,2.05,Over/Under +150.5 ,1.98,1.94,Cedevita,Panathinaikos,"Thursday, 04 Feb  2016, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/cedevita-panathinaikos-vLlSQdiP/
90,Asian handicap -7.5 ,2.13,1.92,Over/Under +160.5 ,2.0,1.97,Barcelona,Baskonia,"Friday, 29 Jan  2016, 22:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/barcelona-saski-baskonia-ja8X4FU5/
91,Asian handicap -9.5 ,1.96,2.17,Over/Under +144.5 ,2.05,1.91,Panathinaikos,Darussafaka,"Friday, 29 Jan  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/panathinaikos-darussafaka-0AFK7Hpm/
