,AH,AH_Home,AH_Away,OU,Over,Under,Home_name,Away_name,Date,URL
1288,Asian handicap +7.5 ,2.0,1.97,Over/Under +208.5 ,1.95,1.98,Los Angeles Lakers,San Antonio Spurs,"Saturday, 02 Nov  2013, 04:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/los-angeles-lakers-san-antonio-spurs-WQs7ZQx1/
1289,Asian handicap -3.5 ,1.95,2.14,Over/Under +195.5 ,1.98,1.95,Phoenix Suns,Utah Jazz,"Saturday, 02 Nov  2013, 04:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/phoenix-suns-utah-jazz-O0vaym8l/
1290,Asian handicap +3.5 ,1.97,1.98,Over/Under +203 ,2.0,1.97,Sacramento Kings,Los Angeles Clippers,"Saturday, 02 Nov  2013, 04:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/sacramento-kings-los-angeles-clippers-INw3z7Nf/
1291,Asian handicap -4.5 ,1.97,2.0,Over/Under +198 ,2.04,1.97,Denver Nuggets,Portland Trail Blazers,"Saturday, 02 Nov  2013, 03:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/denver-nuggets-portland-trail-blazers-pAuexThr/
1292,Asian handicap +4 ,2.0,1.95,Over/Under +195 ,1.97,1.97,Brooklyn Nets,Miami Heat,"Saturday, 02 Nov  2013, 02:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/brooklyn-nets-miami-heat-z1gCgG2m/
1293,Asian handicap -6.5 ,2.02,1.95,Over/Under +207 ,1.98,1.97,Houston Rockets,Dallas Mavericks,"Saturday, 02 Nov  2013, 02:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/houston-rockets-dallas-mavericks-dnOIeHg3/
1294,Asian handicap -7.5 ,1.93,2.04,Over/Under +189.5 ,2.02,1.98,Memphis Grizzlies,Detroit Pistons,"Saturday, 02 Nov  2013, 02:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/memphis-grizzlies-detroit-pistons-UaMQgeOF/
1295,Asian handicap -2 ,1.99,2.0,Over/Under +201.5 ,1.98,2.0,Minnesota Timberwolves,Oklahoma City Thunder,"Saturday, 02 Nov  2013, 02:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/minnesota-timberwolves-oklahoma-city-thunder-j9NMfy99/
1296,Asian handicap -3.5 ,2.0,1.95,Over/Under +196 ,1.93,2.06,Atlanta Hawks,Toronto Raptors,"Saturday, 02 Nov  2013, 01:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/atlanta-hawks-toronto-raptors-YFT55yGb/
1297,Asian handicap -2.5 ,2.0,1.99,Over/Under +185.5 ,1.97,1.98,Boston Celtics,Milwaukee Bucks,"Saturday, 02 Nov  2013, 01:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/boston-celtics-milwaukee-bucks-pCKEdcvc/
1298,Asian handicap +3 ,1.91,2.06,Over/Under +188 ,2.02,1.97,Charlotte Hornets,Cleveland Cavaliers,"Saturday, 02 Nov  2013, 01:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/charlotte-hornets-cleveland-cavaliers-zswOZZWq/
1299,Asian handicap +4 ,1.95,2.02,Over/Under +194.5 ,1.91,2.06,Orlando Magic,New Orleans Pelicans,"Saturday, 02 Nov  2013, 01:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/orlando-magic-new-orleans-pelicans-4GsSYgnj/
1300,Asian handicap -9 ,1.99,1.97,Over/Under +200.5 ,2.0,1.98,Washington Wizards,Philadelphia 76ers,"Saturday, 02 Nov  2013, 01:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/washington-wizards-philadelphia-76ers-r7tWXD1d/
1301,Asian handicap -6 ,2.0,2.02,Over/Under +205.5 ,2.0,1.94,Los Angeles Clippers,Golden State Warriors,"Friday, 01 Nov  2013, 04:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/los-angeles-clippers-golden-state-warriors-MFd2dvaB/
1302,Asian handicap -7.5 ,2.02,1.94,Over/Under +188 ,1.97,1.99,Chicago Bulls,New York Knicks,"Friday, 01 Nov  2013, 02:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/chicago-bulls-new-york-knicks-AugbcKq5/
1303,Asian handicap -12 ,2.02,1.98,Over/Under +206 ,1.99,1.97,Golden State Warriors,Los Angeles Lakers,"Thursday, 31 Oct  2013, 04:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/golden-state-warriors-los-angeles-lakers-SG3gb0Ub/
1304,Asian handicap +5 ,1.93,2.03,Over/Under +197.5 ,2.04,2.0,Phoenix Suns,Portland Trail Blazers,"Thursday, 31 Oct  2013, 04:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/phoenix-suns-portland-trail-blazers-Kj0o0Man/
1305,Asian handicap -2.5 ,2.0,1.99,Over/Under +203.5 ,1.96,1.98,Sacramento Kings,Denver Nuggets,"Thursday, 31 Oct  2013, 04:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/sacramento-kings-denver-nuggets-lQ4katFh/
1306,Asian handicap +6.5 ,2.02,1.93,Over/Under +191.5 ,1.95,1.95,Utah Jazz,Oklahoma City Thunder,"Thursday, 31 Oct  2013, 03:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/utah-jazz-oklahoma-city-thunder-t01s12pt/
1307,Asian handicap -6 ,2.0,1.94,Over/Under +196 ,1.95,1.99,Dallas Mavericks,Atlanta Hawks,"Thursday, 31 Oct  2013, 02:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/dallas-mavericks-atlanta-hawks-2ZVWtaaO/
1308,Asian handicap -6 ,2.0,2.04,Over/Under +189 ,1.95,1.98,San Antonio Spurs,Memphis Grizzlies,"Thursday, 31 Oct  2013, 02:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/san-antonio-spurs-memphis-grizzlies-GxzytJEU/
1309,Asian handicap -13 ,1.97,1.97,Over/Under +200.5 ,2.06,1.95,Houston Rockets,Charlotte Hornets,"Thursday, 31 Oct  2013, 02:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/houston-rockets-charlotte-hornets-O82Ops0a/
1310,Asian handicap -10.5 ,1.96,1.98,Over/Under +199.5 ,2.0,2.05,Minnesota Timberwolves,Orlando Magic,"Thursday, 31 Oct  2013, 02:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/minnesota-timberwolves-orlando-magic-2a1Sq1F5/
1311,Asian handicap -1.5 ,1.93,2.0,Over/Under +187.5 ,2.05,1.97,New Orleans Pelicans,Indiana Pacers,"Thursday, 31 Oct  2013, 02:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/new-orleans-pelicans-indiana-pacers-8CWSsupI/
1312,Asian handicap -2.5 ,1.95,2.06,Over/Under +189 ,1.93,1.99,Detroit Pistons,Washington Wizards,"Thursday, 31 Oct  2013, 01:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/detroit-pistons-washington-wizards-GraGn3Vn/
1313,Asian handicap -7.5 ,2.03,1.91,Over/Under +196.5 ,1.95,2.0,New York Knicks,Milwaukee Bucks,"Thursday, 31 Oct  2013, 01:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/new-york-knicks-milwaukee-bucks-Uo3KoNpg/
1314,Asian handicap +3 ,1.93,2.06,Over/Under +194.5 ,1.97,2.04,Cleveland Cavaliers,Brooklyn Nets,"Thursday, 31 Oct  2013, 01:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/cleveland-cavaliers-brooklyn-nets-44VcULFI/
1315,Asian handicap +10 ,2.04,1.93,Over/Under +195.5 ,1.97,1.99,Philadelphia 76ers,Miami Heat,"Thursday, 31 Oct  2013, 01:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/philadelphia-76ers-miami-heat-reU1TuVO/
1316,Asian handicap -8 ,2.0,1.98,Over/Under +189.5 ,2.0,1.96,Toronto Raptors,Boston Celtics,"Thursday, 31 Oct  2013, 01:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/toronto-raptors-boston-celtics-WANqhP7P/
1317,Asian handicap +9.5 ,1.95,2.0,Over/Under +201.5 ,1.97,1.97,Los Angeles Lakers,Los Angeles Clippers,"Wednesday, 30 Oct  2013, 04:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/los-angeles-lakers-los-angeles-clippers-MutgV10C/
1318,Asian handicap -5 ,1.98,1.97,Over/Under +188.5 ,2.0,2.02,Miami Heat,Chicago Bulls,"Wednesday, 30 Oct  2013, 02:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/miami-heat-chicago-bulls-A5xkWso6/
1319,Asian handicap -12 ,2.03,1.97,Over/Under +188.5 ,2.03,1.94,Indiana Pacers,Orlando Magic,"Wednesday, 30 Oct  2013, 01:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/indiana-pacers-orlando-magic-xhvsY3Gg/
1320,Asian handicap -5.5 ,2.02,1.95,Over/Under +194 ,2.02,1.93,Los Angeles Clippers,Sacramento Kings,"Saturday, 26 Oct  2013, 05:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/los-angeles-clippers-sacramento-kings-OYaQ61uB/
1321,Asian handicap -4 ,2.0,1.98,Over/Under +193.5 ,2.04,1.97,Los Angeles Lakers,Utah Jazz,"Saturday, 26 Oct  2013, 05:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/los-angeles-lakers-utah-jazz-pr1M7sQ4/
1322,Asian handicap -1 ,2.0,2.0,Over/Under +188 ,1.95,1.95,Dallas Mavericks,Indiana Pacers,"Saturday, 26 Oct  2013, 03:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/dallas-mavericks-indiana-pacers-G8dI8NAb/
1323,Asian handicap -2 ,1.99,1.97,Over/Under +192.5 ,1.98,1.98,Milwaukee Bucks,Toronto Raptors,"Saturday, 26 Oct  2013, 03:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/milwaukee-bucks-toronto-raptors-OYLeMtub/
1324,Asian handicap -6.5 ,2.06,1.94,Over/Under +190 ,1.99,1.96,Chicago Bulls,Denver Nuggets,"Saturday, 26 Oct  2013, 03:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/chicago-bulls-denver-nuggets-fg89Aqtn/
1325,Asian handicap -2 ,2.03,1.97,Over/Under +197.5 ,1.95,1.96,Memphis Grizzlies,Houston Rockets,"Saturday, 26 Oct  2013, 03:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/memphis-grizzlies-houston-rockets-xIcE93eh/
