,Time,Book_n,Coef,Type
239,2018-11-16 00:54:00,Babibet,2.42,away
240,2018-11-15 23:58:00,Babibet,2.46,away
241,2018-11-15 23:55:00,Babibet,2.49,away
242,2018-11-15 23:48:00,Babibet,2.47,away
243,2018-11-15 23:35:00,Babibet,2.42,away
244,2018-11-15 22:50:00,Babibet,2.4,away
245,2018-11-15 21:53:00,Babibet,2.38,away
246,2018-11-15 21:14:00,Babibet,2.4,away
247,2018-11-15 20:08:00,Babibet,2.38,away
248,2018-11-15 20:06:00,Babibet,2.37,away
249,2018-11-15 02:16:00,Babibet,1.99,away
250,2018-11-16 01:42:00,bet-at-home,1.54,home
251,2018-11-16 01:26:00,bet-at-home,1.55,home
252,2018-11-16 00:56:00,bet-at-home,1.59,home
253,2018-11-15 23:53:00,bet-at-home,1.58,home
254,2018-11-15 23:39:00,bet-at-home,1.6,home
255,2018-11-15 22:33:00,bet-at-home,1.61,home
256,2018-11-15 19:50:00,bet-at-home,1.6,home
257,2018-11-15 18:13:00,bet-at-home,1.61,home
258,2018-11-15 17:47:00,bet-at-home,1.64,home
259,2018-11-15 17:40:00,bet-at-home,1.65,home
260,2018-11-15 16:05:00,bet-at-home,1.67,home
261,2018-11-15 14:08:00,bet-at-home,1.68,home
262,2018-11-15 11:28:00,bet-at-home,1.72,home
263,2018-11-15 09:15:00,bet-at-home,1.73,home
264,2018-11-15 08:41:00,bet-at-home,1.78,home
265,2018-11-15 05:09:00,bet-at-home,1.79,home
266,2018-11-15 02:35:00,bet-at-home,1.81,home
267,2018-11-16 01:42:00,bet-at-home,2.44,away
268,2018-11-16 01:26:00,bet-at-home,2.41,away
269,2018-11-16 00:56:00,bet-at-home,2.33,away
270,2018-11-15 23:53:00,bet-at-home,2.35,away
271,2018-11-15 23:39:00,bet-at-home,2.31,away
272,2018-11-15 22:33:00,bet-at-home,2.28,away
273,2018-11-15 19:50:00,bet-at-home,2.31,away
274,2018-11-15 18:13:00,bet-at-home,2.28,away
275,2018-11-15 17:47:00,bet-at-home,2.22,away
276,2018-11-15 17:40:00,bet-at-home,2.2,away
277,2018-11-15 16:05:00,bet-at-home,2.17,away
278,2018-11-15 14:08:00,bet-at-home,2.15,away
279,2018-11-15 11:28:00,bet-at-home,2.09,away
280,2018-11-15 09:15:00,bet-at-home,2.07,away
281,2018-11-15 08:41:00,bet-at-home,2.01,away
282,2018-11-15 05:09:00,bet-at-home,1.99,away
283,2018-11-15 02:35:00,bet-at-home,1.97,away
284,2018-11-16 01:36:00,bet365,1.57,home
285,2018-11-15 23:58:00,bet365,1.6,home
286,2018-11-15 23:42:00,bet365,1.62,home
287,2018-11-15 22:42:00,bet365,1.64,home
288,2018-11-15 20:07:00,bet365,1.62,home
289,2018-11-15 20:04:00,bet365,1.6,home
290,2018-11-15 18:04:00,bet365,1.62,home
291,2018-11-15 17:42:00,bet365,1.64,home
292,2018-11-15 17:38:00,bet365,1.66,home
293,2018-11-15 16:43:00,bet365,1.68,home
294,2018-11-15 14:06:00,bet365,1.71,home
295,2018-11-15 11:34:00,bet365,1.74,home
296,2018-11-15 09:09:00,bet365,1.76,home
297,2018-11-15 07:49:00,bet365,1.8,home
298,2018-11-15 05:06:00,bet365,1.83,home
299,2018-11-15 02:32:00,bet365,1.86,home
300,2018-11-16 01:36:00,bet365,2.55,away
301,2018-11-15 23:58:00,bet365,2.45,away
302,2018-11-15 23:42:00,bet365,2.4,away
303,2018-11-15 22:42:00,bet365,2.35,away
304,2018-11-15 20:07:00,bet365,2.4,away
305,2018-11-15 20:04:00,bet365,2.45,away
306,2018-11-15 18:04:00,bet365,2.4,away
307,2018-11-15 17:42:00,bet365,2.35,away
308,2018-11-15 17:38:00,bet365,2.3,away
309,2018-11-15 16:43:00,bet365,2.25,away
310,2018-11-15 14:06:00,bet365,2.2,away
311,2018-11-15 11:34:00,bet365,2.15,away
312,2018-11-15 09:09:00,bet365,2.1,away
313,2018-11-15 07:49:00,bet365,2.05,away
314,2018-11-15 05:06:00,bet365,2.0,away
315,2018-11-15 02:32:00,bet365,1.95,away
316,2018-11-16 01:41:00,Betclic,1.57,home
317,2018-11-16 01:28:00,Betclic,1.59,home
318,2018-11-16 01:26:00,Betclic,1.61,home
319,2018-11-16 00:55:00,Betclic,1.62,home
320,2018-11-15 23:52:00,Betclic,1.61,home
321,2018-11-15 23:38:00,Betclic,1.63,home
322,2018-11-15 22:34:00,Betclic,1.65,home
323,2018-11-15 19:50:00,Betclic,1.64,home
324,2018-11-15 18:09:00,Betclic,1.65,home
325,2018-11-15 18:05:00,Betclic,1.66,home
326,2018-11-15 17:45:00,Betclic,1.68,home
327,2018-11-15 17:38:00,Betclic,1.69,home
328,2018-11-15 16:04:00,Betclic,1.71,home
329,2018-11-15 14:07:00,Betclic,1.73,home
330,2018-11-15 11:25:00,Betclic,1.76,home
331,2018-11-15 09:16:00,Betclic,1.78,home
332,2018-11-15 09:14:00,Betclic,1.8,home
333,2018-11-15 08:42:00,Betclic,1.82,home
334,2018-11-15 05:09:00,Betclic,1.84,home
335,2018-11-15 02:19:00,Betclic,1.86,home
336,2018-11-16 01:41:00,Betclic,2.55,away
337,2018-11-16 01:28:00,Betclic,2.5,away
338,2018-11-16 01:26:00,Betclic,2.46,away
339,2018-11-16 00:55:00,Betclic,2.41,away
340,2018-11-15 23:52:00,Betclic,2.44,away
341,2018-11-15 23:38:00,Betclic,2.39,away
342,2018-11-15 22:34:00,Betclic,2.36,away
343,2018-11-15 19:50:00,Betclic,2.39,away
344,2018-11-15 18:09:00,Betclic,2.36,away
345,2018-11-15 18:05:00,Betclic,2.34,away
346,2018-11-15 17:45:00,Betclic,2.3,away
347,2018-11-15 17:38:00,Betclic,2.27,away
348,2018-11-15 16:04:00,Betclic,2.24,away
349,2018-11-15 14:07:00,Betclic,2.22,away
350,2018-11-15 11:25:00,Betclic,2.16,away
351,2018-11-15 09:16:00,Betclic,2.14,away
352,2018-11-15 09:14:00,Betclic,2.11,away
353,2018-11-15 08:42:00,Betclic,2.07,away
354,2018-11-15 05:09:00,Betclic,2.05,away
355,2018-11-15 02:19:00,Betclic,2.03,away
356,2018-11-16 02:58:00,Betfair,1.57,home
357,2018-11-15 22:42:00,Betfair,1.63,home
358,2018-11-15 18:08:00,Betfair,1.7,home
359,2018-11-15 17:02:00,Betfair,1.73,home
360,2018-11-15 15:55:00,Betfair,1.75,home
361,2018-11-15 01:39:00,Betfair,1.8,home
362,2018-11-16 02:58:00,Betfair,2.5,away
363,2018-11-15 22:42:00,Betfair,2.38,away
364,2018-11-15 18:08:00,Betfair,2.25,away
365,2018-11-15 17:02:00,Betfair,2.2,away
366,2018-11-15 15:55:00,Betfair,2.15,away
367,2018-11-15 01:39:00,Betfair,2.1,away
368,2018-11-16 01:51:00,Betfred,1.53,home
369,2018-11-15 23:51:00,Betfred,1.57,home
370,2018-11-15 23:17:00,Betfred,1.62,home
371,2018-11-15 23:03:00,Betfred,1.57,home
372,2018-11-15 18:07:00,Betfred,1.62,home
373,2018-11-15 17:26:00,Betfred,1.67,home
374,2018-11-15 14:05:00,Betfred,1.7,home
375,2018-11-15 13:18:00,Betfred,1.73,home
376,2018-11-15 12:55:00,Betfred,1.7,home
377,2018-11-15 09:17:00,Betfred,1.73,home
378,2018-11-15 06:48:00,Betfred,1.8,home
379,2018-11-15 06:30:00,Betfred,1.83,home
380,2018-11-15 06:19:00,Betfred,1.8,home
381,2018-11-15 02:29:00,Betfred,1.83,home
382,2018-11-15 02:24:00,Betfred,1.8,home
383,2018-11-16 01:51:00,Betfred,2.5,away
384,2018-11-15 23:51:00,Betfred,2.4,away
385,2018-11-15 23:17:00,Betfred,2.3,away
386,2018-11-15 23:03:00,Betfred,2.4,away
387,2018-11-15 18:07:00,Betfred,2.3,away
388,2018-11-15 17:26:00,Betfred,2.25,away
389,2018-11-15 14:05:00,Betfred,2.15,away
390,2018-11-15 13:18:00,Betfred,2.1,away
391,2018-11-15 12:55:00,Betfred,2.15,away
392,2018-11-15 09:17:00,Betfred,2.1,away
393,2018-11-15 06:48:00,Betfred,2.05,away
394,2018-11-15 06:30:00,Betfred,2.0,away
395,2018-11-15 06:19:00,Betfred,2.05,away
396,2018-11-15 02:29:00,Betfred,2.0,away
397,2018-11-15 02:24:00,Betfred,2.05,away
398,2018-11-16 02:30:00,Bethard,1.57,home
399,2018-11-16 01:39:00,Bethard,1.56,home
400,2018-11-16 01:26:00,Bethard,1.57,home
401,2018-11-16 01:08:00,Bethard,1.59,home
402,2018-11-16 00:52:00,Bethard,1.61,home
403,2018-11-15 23:50:00,Bethard,1.59,home
404,2018-11-15 23:47:00,Bethard,1.61,home
405,2018-11-15 19:42:00,Bethard,1.63,home
406,2018-11-15 19:16:00,Bethard,1.65,home
407,2018-11-15 18:03:00,Bethard,1.63,home
408,2018-11-15 18:01:00,Bethard,1.65,home
409,2018-11-15 17:37:00,Bethard,1.67,home
410,2018-11-15 15:03:00,Bethard,1.69,home
411,2018-11-15 14:02:00,Bethard,1.71,home
412,2018-11-15 11:24:00,Bethard,1.74,home
413,2018-11-15 09:11:00,Bethard,1.77,home
414,2018-11-15 09:07:00,Bethard,1.8,home
415,2018-11-15 07:36:00,Bethard,1.77,home
416,2018-11-15 04:03:00,Bethard,1.8,home
417,2018-11-16 02:30:00,Bethard,2.45,away
418,2018-11-16 01:26:00,Bethard,2.5,away
419,2018-11-16 01:23:00,Bethard,2.45,away
420,2018-11-15 23:50:00,Bethard,2.4,away
421,2018-11-15 19:42:00,Bethard,2.35,away
422,2018-11-15 19:16:00,Bethard,2.3,away
423,2018-11-15 18:03:00,Bethard,2.35,away
424,2018-11-15 17:41:00,Bethard,2.3,away
425,2018-11-15 16:41:00,Bethard,2.25,away
426,2018-11-15 14:13:00,Bethard,2.2,away
427,2018-11-15 11:24:00,Bethard,2.15,away
428,2018-11-15 09:11:00,Bethard,2.1,away
429,2018-11-15 09:07:00,Bethard,2.05,away
430,2018-11-15 05:05:00,Bethard,2.0,away
431,2018-11-15 04:03:00,Bethard,1.95,away
432,2018-11-16 02:22:00,BetJOE,1.57,home
433,2018-11-16 02:15:00,BetJOE,1.56,home
434,2018-11-16 02:00:00,BetJOE,1.55,home
435,2018-11-16 01:37:00,BetJOE,1.54,home
436,2018-11-16 01:24:00,BetJOE,1.56,home
437,2018-11-16 01:22:00,BetJOE,1.57,home
438,2018-11-16 01:05:00,BetJOE,1.59,home
439,2018-11-16 00:51:00,BetJOE,1.6,home
440,2018-11-15 23:57:00,BetJOE,1.59,home
441,2018-11-15 23:48:00,BetJOE,1.58,home
442,2018-11-15 23:26:00,BetJOE,1.61,home
443,2018-11-15 22:49:00,BetJOE,1.62,home
444,2018-11-15 22:31:00,BetJOE,1.63,home
445,2018-11-15 20:10:00,BetJOE,1.62,home
446,2018-11-15 20:05:00,BetJOE,1.63,home
447,2018-11-15 20:03:00,BetJOE,1.6,home
448,2018-11-15 19:47:00,BetJOE,1.61,home
449,2018-11-15 19:36:00,BetJOE,1.63,home
450,2018-11-15 19:05:00,BetJOE,1.64,home
451,2018-11-15 18:07:00,BetJOE,1.63,home
452,2018-11-15 02:16:00,BetJOE,1.84,home
453,2018-11-16 02:57:00,BetJOE,2.47,away
454,2018-11-16 02:34:00,BetJOE,2.48,away
455,2018-11-16 02:22:00,BetJOE,2.49,away
456,2018-11-16 02:15:00,BetJOE,2.51,away
457,2018-11-16 02:11:00,BetJOE,2.52,away
458,2018-11-16 02:00:00,BetJOE,2.54,away
459,2018-11-16 01:37:00,BetJOE,2.56,away
460,2018-11-16 01:24:00,BetJOE,2.51,away
461,2018-11-16 01:22:00,BetJOE,2.47,away
462,2018-11-16 01:05:00,BetJOE,2.42,away
463,2018-11-16 00:51:00,BetJOE,2.4,away
464,2018-11-15 23:57:00,BetJOE,2.44,away
465,2018-11-15 23:55:00,BetJOE,2.46,away
466,2018-11-15 23:48:00,BetJOE,2.45,away
467,2018-11-15 23:33:00,BetJOE,2.39,away
468,2018-11-15 23:26:00,BetJOE,2.38,away
469,2018-11-15 22:49:00,BetJOE,2.37,away
470,2018-11-15 22:31:00,BetJOE,2.35,away
471,2018-11-15 21:51:00,BetJOE,2.36,away
472,2018-11-15 21:14:00,BetJOE,2.37,away
473,2018-11-15 02:16:00,BetJOE,2.01,away
474,2018-11-16 01:52:00,BetOlimp,1.56,home
475,2018-11-16 01:31:00,BetOlimp,1.58,home
476,2018-11-16 00:57:00,BetOlimp,1.61,home
477,2018-11-15 23:56:00,BetOlimp,1.6,home
478,2018-11-15 23:44:00,BetOlimp,1.62,home
479,2018-11-15 22:40:00,BetOlimp,1.63,home
480,2018-11-15 19:52:00,BetOlimp,1.62,home
481,2018-11-15 18:10:00,BetOlimp,1.63,home
482,2018-11-15 17:53:00,BetOlimp,1.66,home
483,2018-11-15 17:41:00,BetOlimp,1.68,home
484,2018-11-15 16:09:00,BetOlimp,1.69,home
485,2018-11-15 14:09:00,BetOlimp,1.71,home
486,2018-11-15 11:27:00,BetOlimp,1.75,home
487,2018-11-15 09:16:00,BetOlimp,1.76,home
488,2018-11-15 08:47:00,BetOlimp,1.81,home
489,2018-11-15 05:12:00,BetOlimp,1.82,home
490,2018-11-15 03:32:00,BetOlimp,1.84,home
491,2018-11-16 01:52:00,BetOlimp,2.5,away
492,2018-11-16 01:31:00,BetOlimp,2.46,away
493,2018-11-16 00:57:00,BetOlimp,2.38,away
494,2018-11-15 23:56:00,BetOlimp,2.4,away
495,2018-11-15 23:44:00,BetOlimp,2.37,away
496,2018-11-15 22:40:00,BetOlimp,2.35,away
497,2018-11-15 19:52:00,BetOlimp,2.37,away
498,2018-11-15 18:10:00,BetOlimp,2.35,away
499,2018-11-15 17:53:00,BetOlimp,2.29,away
500,2018-11-15 17:41:00,BetOlimp,2.25,away
501,2018-11-15 16:09:00,BetOlimp,2.22,away
502,2018-11-15 14:09:00,BetOlimp,2.2,away
503,2018-11-15 11:27:00,BetOlimp,2.14,away
504,2018-11-15 09:16:00,BetOlimp,2.11,away
505,2018-11-15 08:47:00,BetOlimp,2.05,away
506,2018-11-15 05:12:00,BetOlimp,2.03,away
507,2018-11-15 03:32:00,BetOlimp,2.01,away
508,2018-11-16 02:59:00,Betsafe,1.57,home
509,2018-11-16 01:39:00,Betsafe,1.55,home
510,2018-11-16 01:19:00,Betsafe,1.58,home
511,2018-11-15 23:55:00,Betsafe,1.59,home
512,2018-11-15 23:51:00,Betsafe,1.58,home
513,2018-11-15 23:49:00,Betsafe,1.59,home
514,2018-11-15 23:41:00,Betsafe,1.61,home
515,2018-11-15 23:37:00,Betsafe,1.59,home
516,2018-11-15 22:35:00,Betsafe,1.61,home
517,2018-11-15 22:33:00,Betsafe,1.59,home
518,2018-11-15 21:56:00,Betsafe,1.61,home
519,2018-11-15 17:59:00,Betsafe,1.64,home
520,2018-11-15 17:40:00,Betsafe,1.66,home
521,2018-11-15 16:46:00,Betsafe,1.68,home
522,2018-11-15 15:01:00,Betsafe,1.69,home
523,2018-11-15 11:37:00,Betsafe,1.72,home
524,2018-11-15 10:58:00,Betsafe,1.75,home
525,2018-11-15 09:12:00,Betsafe,1.78,home
526,2018-11-15 07:50:00,Betsafe,1.79,home
527,2018-11-15 02:27:00,Betsafe,1.82,home
528,2018-11-16 02:59:00,Betsafe,2.4,away
529,2018-11-16 01:39:00,Betsafe,2.45,away
530,2018-11-15 23:59:00,Betsafe,2.4,away
