,League,Season,Home_score,Away_score,Win,OT,Home_p,Away_p,URL
4507,NBA,2014/2015,114.0,95.0,1.0,0.0,1.37,3.6,https://www.oddsportal.com/basketball/usa/nba-2014-2015/golden-state-warriors-atlanta-hawks-xpt3Mo9T/
4508,NBA,2014/2015,84.0,88.0,0.0,0.0,1.72,2.4,https://www.oddsportal.com/basketball/usa/nba-2014-2015/utah-jazz-washington-wizards-bgsaNRgN/
4509,NBA,2014/2015,105.0,116.0,0.0,0.0,4.75,1.24,https://www.oddsportal.com/basketball/usa/nba-2014-2015/sacramento-kings-los-angeles-clippers-4WseO7vH/
4510,NBA,2014/2015,103.0,86.0,1.0,0.0,1.91,2.05,https://www.oddsportal.com/basketball/usa/nba-2014-2015/chicago-bulls-indiana-pacers-84lnQT94/
4511,NBA,2014/2015,107.0,102.0,1.0,0.0,1.11,9.5,https://www.oddsportal.com/basketball/usa/nba-2014-2015/dallas-mavericks-orlando-magic-jTwiPmPA/
4512,NBA,2014/2015,103.0,114.0,0.0,0.0,3.25,1.43,https://www.oddsportal.com/basketball/usa/nba-2014-2015/milwaukee-bucks-san-antonio-spurs-UDkrR9fb/
4513,NBA,2014/2015,122.0,118.0,1.0,0.0,1.37,3.7,https://www.oddsportal.com/basketball/usa/nba-2014-2015/oklahoma-city-thunder-boston-celtics-zwyuSkuh/
4514,NBA,2014/2015,108.0,104.0,1.0,0.0,2.25,1.78,https://www.oddsportal.com/basketball/usa/nba-2014-2015/miami-heat-portland-trail-blazers-dnxyTVPo/
4515,NBA,2014/2015,105.0,100.0,1.0,0.0,1.18,7.5,https://www.oddsportal.com/basketball/usa/nba-2014-2015/toronto-raptors-minnesota-timberwolves-KE44kEDd/
4516,NBA,2014/2015,117.0,92.0,1.0,0.0,1.13,7.71,https://www.oddsportal.com/basketball/usa/nba-2014-2015/cleveland-cavaliers-brooklyn-nets-fsbh4nmo/
4517,NBA,2014/2015,94.0,83.0,1.0,0.0,2.02,2.0,https://www.oddsportal.com/basketball/usa/nba-2014-2015/philadelphia-76ers-detroit-pistons-r5VOLEII/
4518,NBA,2014/2015,99.0,92.0,1.0,0.0,1.19,6.0,https://www.oddsportal.com/basketball/usa/nba-2014-2015/los-angeles-clippers-charlotte-hornets-ShR2cvz1/
4519,NBA,2014/2015,107.0,94.0,1.0,0.0,1.19,7.02,https://www.oddsportal.com/basketball/usa/nba-2014-2015/houston-rockets-orlando-magic-l2SbbKKf/
4520,NBA,2014/2015,85.0,84.0,1.0,0.0,1.36,4.0,https://www.oddsportal.com/basketball/usa/nba-2014-2015/new-orleans-pelicans-milwaukee-bucks-6wwfa05l/
4521,NBA,2014/2015,105.0,95.0,1.0,0.0,2.72,1.54,https://www.oddsportal.com/basketball/usa/nba-2014-2015/detroit-pistons-memphis-grizzlies-8hKj0tjr/
4522,NBA,2014/2015,104.0,100.0,1.0,1.0,18.0,1.08,https://www.oddsportal.com/basketball/usa/nba-2014-2015/new-york-knicks-san-antonio-spurs-jDXO4MsR/
4523,NBA,2014/2015,108.0,105.0,1.0,0.0,1.05,31.0,https://www.oddsportal.com/basketball/usa/nba-2014-2015/golden-state-warriors-los-angeles-lakers-CMYK52SK/
4524,NBA,2014/2015,103.0,110.0,0.0,0.0,2.72,1.57,https://www.oddsportal.com/basketball/usa/nba-2014-2015/sacramento-kings-atlanta-hawks-fovG6rDE/
4525,NBA,2014/2015,94.0,66.0,1.0,0.0,1.62,2.65,https://www.oddsportal.com/basketball/usa/nba-2014-2015/utah-jazz-charlotte-hornets-GfuC7Oc8/
4526,NBA,2014/2015,119.0,115.0,1.0,0.0,1.45,3.13,https://www.oddsportal.com/basketball/usa/nba-2014-2015/dallas-mavericks-oklahoma-city-thunder-2iiUruL7/
