,AH,AH_Home,AH_Away,OU,Over,Under,Home_name,Away_name,Date,URL
1208,Asian handicap -2.5 ,1.94,2.12,Over/Under +191 ,1.99,1.97,Milwaukee Bucks,Oklahoma City Thunder,"Wednesday, 12 Nov  2014, 03:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/milwaukee-bucks-oklahoma-city-thunder-2JurbTA5/
1209,Asian handicap -10.5 ,2.0,1.95,Over/Under +198 ,2.0,1.93,Toronto Raptors,Orlando Magic,"Wednesday, 12 Nov  2014, 02:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/toronto-raptors-orlando-magic-E743z0hn/
1210,Asian handicap -1.5 ,2.14,1.93,Over/Under +202.5 ,2.12,1.95,Los Angeles Clippers,San Antonio Spurs,"Tuesday, 11 Nov  2014, 05:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/los-angeles-clippers-san-antonio-spurs-t4iZaktg/
1211,Asian handicap -9.5 ,2.0,2.0,Over/Under +190 ,2.05,1.93,Chicago Bulls,Detroit Pistons,"Tuesday, 11 Nov  2014, 03:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/chicago-bulls-detroit-pistons-S0mV0VQn/
1212,Asian handicap +2 ,2.0,1.99,Over/Under +197 ,2.03,1.96,New York Knicks,Atlanta Hawks,"Tuesday, 11 Nov  2014, 02:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/new-york-knicks-atlanta-hawks-YwlR1BBt/
1213,Asian handicap -5.5 ,2.0,1.94,Over/Under +202 ,2.02,1.95,Cleveland Cavaliers,New Orleans Pelicans,"Tuesday, 11 Nov  2014, 02:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/cleveland-cavaliers-new-orleans-pelicans-KdsFff4D/
1214,Asian handicap -2.5 ,2.04,2.0,Over/Under +187 ,1.98,1.95,Indiana Pacers,Utah Jazz,"Tuesday, 11 Nov  2014, 02:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/indiana-pacers-utah-jazz-dEQcJwsE/
1215,Asian handicap +2.5 ,2.02,1.96,Over/Under +202 ,2.02,1.95,Los Angeles Lakers,Charlotte Hornets,"Monday, 10 Nov  2014, 04:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/los-angeles-lakers-charlotte-hornets-t6rBezk7/
1216,Asian handicap -9 ,2.0,1.98,Over/Under +206.5 ,2.04,1.98,Portland Trail Blazers,Denver Nuggets,"Monday, 10 Nov  2014, 04:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/portland-trail-blazers-denver-nuggets-nqq7dGZ0/
1217,Asian handicap -1.5 ,2.17,1.98,Over/Under +209 ,1.97,1.98,Phoenix Suns,Golden State Warriors,"Monday, 10 Nov  2014, 03:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/phoenix-suns-golden-state-warriors-z9u3cdKf/
1218,Asian handicap -8 ,1.95,2.0,Over/Under +205 ,2.0,1.95,Dallas Mavericks,Miami Heat,"Monday, 10 Nov  2014, 02:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/dallas-mavericks-miami-heat-hpjbbx5l/
1219,Asian handicap +2.5 ,2.04,1.98,Over/Under +191.5 ,1.93,2.12,Oklahoma City Thunder,Sacramento Kings,"Monday, 10 Nov  2014, 02:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/oklahoma-city-thunder-sacramento-kings-EgifaIkr/
1220,Asian handicap -13.5 ,1.98,1.96,Over/Under +204.5 ,2.02,1.93,Toronto Raptors,Philadelphia 76ers,"Monday, 10 Nov  2014, 02:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/toronto-raptors-philadelphia-76ers-040aytwt/
1221,Asian handicap -3.5 ,2.01,2.0,Over/Under +192.5 ,1.98,1.98,Detroit Pistons,Utah Jazz,"Monday, 10 Nov  2014, 01:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/detroit-pistons-utah-jazz-M1aS3bsR/
1222,Asian handicap -8.5 ,2.0,1.95,Over/Under +197 ,2.05,2.0,Brooklyn Nets,Orlando Magic,"Sunday, 09 Nov  2014, 22:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/brooklyn-nets-orlando-magic-rB0O4vSK/
1223,Asian handicap +4.5 ,1.95,2.05,Over/Under +187 ,1.97,1.99,Milwaukee Bucks,Memphis Grizzlies,"Sunday, 09 Nov  2014, 03:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/milwaukee-bucks-memphis-grizzlies-nq7F60c8/
1224,Asian handicap -7.5 ,1.96,2.02,Over/Under +195.5 ,1.96,1.98,San Antonio Spurs,New Orleans Pelicans,"Sunday, 09 Nov  2014, 03:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/san-antonio-spurs-new-orleans-pelicans-0nBJ5KCE/
1225,Asian handicap -9.5 ,2.08,2.0,Over/Under +194 ,2.02,1.93,Chicago Bulls,Boston Celtics,"Sunday, 09 Nov  2014, 03:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/chicago-bulls-boston-celtics-fkKTrc51/
1226,Asian handicap +3.5 ,2.3,1.95,Over/Under +209.5 ,2.05,2.05,Houston Rockets,Golden State Warriors,"Sunday, 09 Nov  2014, 03:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/houston-rockets-golden-state-warriors-YuJXsHK7/
1227,Asian handicap -6.5 ,1.98,1.98,Over/Under +194.5 ,2.02,2.02,Atlanta Hawks,New York Knicks,"Sunday, 09 Nov  2014, 02:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/atlanta-hawks-new-york-knicks-lxkTpJzk/
1228,Asian handicap -7.5 ,2.02,1.93,Over/Under +205 ,1.97,2.01,Miami Heat,Minnesota Timberwolves,"Sunday, 09 Nov  2014, 02:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/miami-heat-minnesota-timberwolves-SSmXqwje/
1229,Asian handicap +3.5 ,2.0,2.08,Over/Under +183.5 ,1.94,2.02,Indiana Pacers,Washington Wizards,"Sunday, 09 Nov  2014, 02:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/indiana-pacers-washington-wizards-fFkPoaLr/
1230,Asian handicap -4.5 ,2.08,1.98,Over/Under +204.5 ,2.1,1.96,Los Angeles Clippers,Portland Trail Blazers,"Saturday, 08 Nov  2014, 22:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/los-angeles-clippers-portland-trail-blazers-IgbcjuDR/
1231,Asian handicap +5 ,2.0,2.23,Over/Under +210.5 ,1.99,2.02,Denver Nuggets,Cleveland Cavaliers,"Saturday, 08 Nov  2014, 05:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/denver-nuggets-cleveland-cavaliers-zV8hiLcL/
1232,Asian handicap -5 ,1.95,1.98,Over/Under +209 ,2.04,1.96,Phoenix Suns,Sacramento Kings,"Saturday, 08 Nov  2014, 04:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/phoenix-suns-sacramento-kings-S45pgsT8/
1233,Asian handicap +2.5 ,1.93,2.02,Over/Under +205.5 ,1.95,1.99,Utah Jazz,Dallas Mavericks,"Saturday, 08 Nov  2014, 04:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/utah-jazz-dallas-mavericks-dvAlh1rF/
1234,Asian handicap +7 ,1.99,2.0,Over/Under +182 ,1.98,2.02,Oklahoma City Thunder,Memphis Grizzlies,"Saturday, 08 Nov  2014, 03:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/oklahoma-city-thunder-memphis-grizzlies-lE6tfND2/
1235,Asian handicap -5.5 ,2.01,1.95,Over/Under +191 ,1.98,1.98,Boston Celtics,Indiana Pacers,"Saturday, 08 Nov  2014, 02:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/boston-celtics-indiana-pacers-zZOgWJLe/
1236,Asian handicap -6 ,1.97,1.99,Over/Under +193 ,1.95,1.98,Brooklyn Nets,New York Knicks,"Saturday, 08 Nov  2014, 02:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/brooklyn-nets-new-york-knicks-tCPkXa6k/
1237,Asian handicap -4.5 ,2.02,1.98,Over/Under +194 ,2.06,1.95,Detroit Pistons,Milwaukee Bucks,"Saturday, 08 Nov  2014, 02:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/detroit-pistons-milwaukee-bucks-n9ScVwy2/
1238,Asian handicap -3.5 ,2.04,1.94,Over/Under +195.5 ,1.98,2.02,Toronto Raptors,Washington Wizards,"Saturday, 08 Nov  2014, 02:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/toronto-raptors-washington-wizards-zsZhGd7U/
1239,Asian handicap -1.5 ,2.0,1.93,Over/Under +194 ,2.04,1.95,Charlotte Hornets,Atlanta Hawks,"Saturday, 08 Nov  2014, 02:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/charlotte-hornets-atlanta-hawks-rypFw2TL/
1240,Asian handicap +4 ,1.96,2.04,Over/Under +203.5 ,1.99,1.96,Orlando Magic,Minnesota Timberwolves,"Saturday, 08 Nov  2014, 02:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/orlando-magic-minnesota-timberwolves-MRrJxMrS/
1241,Asian handicap +10 ,1.98,2.02,Over/Under +188.5 ,2.02,1.95,Philadelphia 76ers,Chicago Bulls,"Saturday, 08 Nov  2014, 02:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/philadelphia-76ers-chicago-bulls-2LQoYuiq/
1242,Asian handicap -2 ,1.98,2.02,Over/Under +209 ,1.99,1.98,Portland Trail Blazers,Dallas Mavericks,"Friday, 07 Nov  2014, 05:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/portland-trail-blazers-dallas-mavericks-lEpBvrEF/
1243,Asian handicap -6.5 ,2.05,1.98,Over/Under +196.5 ,2.05,1.95,Houston Rockets,San Antonio Spurs,"Friday, 07 Nov  2014, 03:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/houston-rockets-san-antonio-spurs-zBt7uOb9/
1244,Asian handicap -5 ,1.96,1.98,Over/Under +211 ,1.95,1.98,Golden State Warriors,Los Angeles Clippers,"Thursday, 06 Nov  2014, 05:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/golden-state-warriors-los-angeles-clippers-hni2t4q3/
1245,Asian handicap -3.5 ,2.03,1.95,Over/Under +206 ,1.98,1.98,Sacramento Kings,Denver Nuggets,"Thursday, 06 Nov  2014, 05:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/sacramento-kings-denver-nuggets-EehbspUd/
